FedEx Home Delivery® Retail Rates ,,,,,,,,,,,,,,,
Effective 1/5/2026,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,FHD,FHD,FHD,FHD,FHD,FHD,FHD,To Hawaii,Intra Oahu,To Alaska,From Hawaii,From Hawaii,Intra Alaska,Alaska to US,Alaska to US
Weight,Zone 2,Zone 3,Zone 4,Zone 5,Zone 6,Zone 7,Zone 8,Zone 9,Zone 14,Zone 17,Zone 92,Zone 96,Zone 22,Zone 23,Zone 25
1 lb.,13.85,14.41,15.02,15.6,16.14,16.42,16.59,56,15.36,56,24.23,24.74,15.16,24.16,24.83
2 lbs.,14.7,15.71,16.54,16.81,17.18,18.04,19.59,62.18,15.44,62.18,25.83,26.2,15.34,25.79,26.36
3,14.71,15.73,16.56,17.19,17.84,20.65,24.54,67.7,15.54,67.7,29.52,30.04,15.41,29.43,30.14
4,14.74,15.76,16.61,18.77,21.55,23.05,26.27,73.64,15.67,73.64,32.53,33.96,15.52,32.48,34.04
5,14.77,15.79,16.78,19.77,22.77,25.09,27.51,79.76,15.75,79.76,36.42,37.95,15.72,36.34,38
6,15.01,15.89,17.25,21.13,25.09,27.49,30.18,86.37,15.78,86.37,40.41,42.1,16.09,40.28,42.13
7,15.58,16.79,18.94,23.2,25.79,28.46,31.43,92.28,15.97,92.28,44.26,46.12,16.57,44.13,46.16
8,16.23,17.62,19.41,24.43,26.47,29.47,33.13,95.83,16.15,95.83,48.14,50.34,17.08,48.05,50.4
9,16.55,18.15,19.91,26.24,26.93,31.68,34.82,107.64,16.38,107.64,52.01,54.58,17.59,51.85,54.61
10,17.23,18.43,20.51,27.18,31.1,33.75,39.1,114.37,16.58,114.37,55.9,58.76,18.11,55.72,58.76
11,17.57,18.45,20.67,27.19,33.03,36.46,42.14,118.48,16.73,118.48,59.74,62.86,18.63,59.61,62.87
12,18.09,18.78,20.82,29.17,35.02,40.88,45.71,123.12,16.97,123.12,63.46,66.9,19.26,63.28,66.9
13,18.39,19.69,20.92,29.56,36.64,43.71,49.07,130.55,17.12,130.55,66.9,70.7,19.79,66.69,70.65
14,18.84,19.86,21.86,30.75,38.7,46.17,52.32,136.09,17.26,136.09,70.12,74.5,20.39,69.92,74.5
15,19.28,20.39,22.2,31.23,40.74,48.74,55.57,141.18,17.41,141.18,73.41,78.33,20.95,73.22,78.29
16,19.79,22.02,24.46,32.15,42.35,50.56,57.92,147.76,17.54,147.76,76.42,81.84,21.4,76.22,81.79
17,20.8,22.24,24.66,33.17,44.71,53.4,60.92,154.15,17.72,154.15,79.89,85.88,22.02,79.66,85.81
18,21.15,22.79,25.13,35.98,46.68,55.75,64.11,160.55,17.87,160.55,83.3,89.89,22.54,83.09,89.82
19,21.58,23.48,25.31,37.75,48.8,58.2,67.25,166.93,18.03,166.93,86.74,93.87,23.14,86.53,93.79
20,21.95,24.19,26.14,39.33,51.04,60.63,70.53,172.52,18.19,172.52,90.06,97.9,23.72,89.82,97.82
21,22.31,25.42,28.83,41.02,53.25,63.13,73.49,177.97,18.33,177.97,93.06,101.9,24.34,92.82,101.81
22,22.8,25.91,30.5,42.28,55.61,65.7,76.53,183.44,18.48,183.44,95.9,105.68,24.83,95.64,105.56
23,23.06,27.39,31.48,45.82,57.82,68.05,79.71,188.89,18.61,188.89,98.78,109.53,25.48,98.5,109.44
24,23.49,28.05,32.47,47.52,60.12,70.51,83.02,195,18.8,195,101.54,113.31,26.07,101.29,113.19
25,24.6,28.76,34.49,48.92,62.29,72.82,86.17,200.95,18.9,200.95,104.71,117.08,26.75,104.42,116.96
26,26.7,30.78,36.02,49.58,63.43,73.71,87.38,203.37,19.09,203.37,107.81,120.77,27.32,107.51,120.64
27,28.79,32.94,37.25,51.2,65.68,76.87,90.34,208.89,19.27,208.89,110.73,124.34,27.95,110.44,124.17
28,29.85,33.97,38.27,52.88,67.73,78.3,93.4,214.49,19.41,214.49,113.81,127.97,28.56,113.5,127.8
29,30.72,35.23,39.22,54.14,69.45,80.03,94.85,219.63,19.54,219.63,116.86,131.54,29.23,116.54,131.39
30,31.62,35.75,40.26,55.8,71.82,83.09,97.28,224.84,19.71,224.84,119.93,135.18,29.74,119.59,135
31,32.74,37.43,42.39,57.34,73.6,85.18,100.65,229.18,19.88,229.18,122.98,138.65,30.34,122.67,138.45
32,33.29,38.28,44.82,58.93,75.85,87.42,103.64,233.54,20.02,233.54,125.84,141.82,30.76,125.52,141.65
33,33.74,38.97,47.18,60.06,77.72,89.64,106.37,237.91,20.12,237.91,128.66,144.77,31.25,128.29,144.56
34,34.17,39.87,49.05,62.09,79.77,91.89,109.21,242.8,20.38,242.8,131.39,147.54,31.81,131.02,147.34
35,34.53,40.68,50.65,63.49,81.66,94.13,111.98,248.41,20.51,248.41,133.82,150.15,32.35,133.44,149.93
36,35.47,42.93,51.96,65.04,83.54,96.35,114.36,252.51,20.7,252.51,136.02,152.63,32.78,135.67,152.41
37,36.54,43.87,53.43,66.41,85.33,98.41,116.48,258.21,20.82,258.21,138.24,154.98,33.29,137.87,154.73
38,37.26,44.65,55.07,68.15,87.12,100.67,118.55,264.3,21.06,264.3,140.46,157.4,33.8,140.08,157.17
39,38.04,45.55,56.34,69.49,89.85,103.91,120.91,269.95,21.17,269.95,142.72,159.8,34.18,142.35,159.55
40,38.49,46.17,57.8,70.85,91.54,106.04,122.85,275.65,21.29,275.65,144.92,162.47,34.8,144.54,162.23
41,38.82,46.53,58.85,72.15,92.6,107.71,124.49,280.38,21.51,280.38,147.24,165.2,35.19,146.87,164.95
42,39.12,47.65,60.58,73.43,94.02,109.67,126.46,285.62,21.75,285.62,149.47,168.02,35.69,149.09,167.74
43,39.56,49.83,62.4,74.87,95.72,111.84,128.6,291.35,21.92,291.35,151.61,170.87,36.12,151.19,170.58
44,39.82,51,63.19,76.16,97.39,113.96,129.96,295.48,22.2,295.48,153.9,173.65,36.7,153.5,173.36
45,40.13,51.59,63.82,77.56,98.96,115.28,132.05,301.19,22.4,301.19,156.09,176.44,37.09,155.72,176.19
46,40.57,51.93,64.51,78.93,100.51,116.48,134.14,306.91,22.74,306.91,158.39,179.29,37.61,157.98,178.99
47,40.89,52.49,65.07,80.17,101.91,117.8,136.25,312.75,23.03,312.75,160.65,182.08,38.02,160.23,181.82
48,41.33,52.87,65.74,81.46,103.31,119.05,138.39,318.07,23.36,318.07,162.87,184.92,38.65,162.42,184.6
49,41.68,53.29,66.25,82.82,104.63,121.24,140.43,323.45,23.72,323.45,165.13,187.47,39.17,164.7,187.19
50,41.92,53.6,66.7,83.07,105.07,122.48,142.47,328.85,24.09,328.85,167.34,189.9,39.8,166.9,189.55
51,41.93,53.61,66.71,83.08,105.08,122.49,142.48,328.86,24.52,328.86,169.37,192.32,40.28,168.93,192
52,42.02,53.62,66.72,83.09,105.09,122.5,142.49,328.87,24.88,328.87,171.26,194.7,40.94,170.8,194.34
53,42.76,53.63,66.73,83.24,105.1,123.7,143.26,331.93,25.3,331.93,173.08,197.18,41.45,172.62,196.8
54,43.33,53.64,66.74,84.34,105.55,125.54,145.06,336.51,25.72,336.51,174.9,199.52,42.07,174.41,199.16
55,43.88,53.9,67.12,85.5,106.08,127.48,146.69,341.05,26.08,341.05,176.72,201.93,42.67,176.25,201.57
56,44.16,54.24,67.48,86.64,106.41,128.55,148.46,345.61,26.55,345.61,178.33,204.12,43.3,177.86,203.75
57,44.29,54.53,67.91,87.8,107.53,129.18,149.88,350.35,26.84,350.35,179.9,206.12,43.84,179.44,205.75
58,45.01,54.98,68.26,88.69,108.64,129.75,151.01,354.89,27.25,354.89,181.51,208.19,44.47,181,207.78
59,45.64,55.09,68.67,89.52,109.6,130.4,152.23,360.29,27.72,360.29,183.24,210.17,44.98,182.74,209.79
60,46.26,55.16,69.35,90.12,110.57,131.08,153.14,365.84,28.1,365.84,184.77,212.15,45.54,184.3,211.77
61,46.97,55.9,70.58,91.11,111.53,131.76,154.07,370.35,28.47,370.35,186.39,214.02,46.12,185.91,213.62
